m,k,d,orig,comp
3,4,64000,0.49993278188157836,0.4999329970607435
3,4,64000,0.5000299150983232,0.5000299035599884
3,4,64000,0.4998594519415188,0.49985951817544105
3,4,64000,0.49979778237515754,0.49979784674628996
3,4,128000,0.4998760300235417,0.49987594113859907
3,4,128000,0.5002482653285906,0.5002485117987843
3,4,128000,0.5000334768952535,0.5000334400960526
3,4,128000,0.5000238644401956,0.5000238957345302
3,4,128000,0.4999808581510584,0.4999808146310383
3,4,128000,0.5001203205905644,0.500120344274657
3,4,128000,0.5001614430940858,0.5001613656669668
3,4,128000,0.5000899572307639,0.5000899837195788
3,4,128000,0.5000038583422164,0.5000038082189445
3,4,128000,0.5000001830866201,0.5000001927226406
3,5,1000,0.5008572464550136,0.5008566067036394
3,5,1000,0.5004846053383988,0.5004853855382214
3,5,1000,0.5012444152959253,0.5012469586300952
3,5,1000,0.4975527684488602,0.49755233459605064
3,5,1000,0.4971851763198151,0.49718530572330677
3,5,1000,0.5014889863042515,0.5014883028012574
3,5,1000,0.5009542710184413,0.5009597426658626
3,5,1000,0.49858655958066855,0.4985882540452667
3,5,1000,0.49908642298573785,0.49908648046263443
3,5,1000,0.49920793627481236,0.49920998479167455
3,5,2000,0.49952851741740756,0.49953004639768356
3,5,2000,0.4996363611812847,0.49963702868369014
3,5,2000,0.5004363823027095,0.5004369800927702
3,5,2000,0.49922942679964194,0.49922784818886357
3,5,2000,0.4998397574822818,0.499839173616805
3,5,2000,0.5002369675848706,0.5002371506833747
3,5,2000,0.49900250562937715,0.49900202639935864
3,5,2000,0.5001934419176698,0.500193598879077
3,5,2000,0.49938870534408963,0.49938950882581934
3,5,2000,0.5010684171389498,0.5010692128312049
3,5,4000,0.49982234674415077,0.4998268134282065
3,5,4000,0.49901952453780596,0.4990198204000984
3,5,4000,0.4995492650805146,0.499543734085458
3,5,4000,0.5004851472214905,0.5004870827130503
3,5,4000,0.5001268230174031,0.5001274490442824
3,5,4000,0.49889407313554424,0.49889234539866145
3,5,4000,0.5002041174058313,0.5002063465165901
3,5,4000,0.49956240961749426,0.49956311014987365
3,5,4000,0.500485649598622,0.5004890740319331
3,5,4000,0.4993828312224317,0.49938298335242043
