m,k,d,orig,comp
1,2,64000,0.4999891854391407,0.4999891854391401
1,2,64000,0.500006542547536,0.5000065425475365
1,2,64000,0.4999405357777689,0.49994053577776826
1,2,64000,0.49999123381316884,0.4999912338131726
1,2,64000,0.49988662829792296,0.49988662829791985
1,2,64000,0.4999656051455261,0.4999656051455265
1,2,64000,0.4998972889831845,0.4998972889831863
1,2,64000,0.49989150554665135,0.49989150554665135
1,2,64000,0.4999964921767778,0.4999964921767764
1,2,64000,0.49985121902109564,0.4998512190211005
1,2,64000,0.49991897507192357,0.4999189750719249
1,2,64000,0.4998890748523324,0.4998890748523304
1,2,64000,0.499965820909494,0.4999658209094944
1,2,64000,0.49998470799891614,0.499984707998917
1,2,64000,0.49987767903925256,0.49987767903925306
1,2,64000,0.4999476299356903,0.49994762993569036
1,2,128000,0.5000278914552768,0.5000278914552767
1,2,128000,0.49993909339165776,0.4999390933916577
1,2,128000,0.49997194798262484,0.4999719479826265
1,2,128000,0.5001452591083646,0.5001452591083654
1,2,128000,0.49998880037550564,0.499988800375508
1,2,128000,0.5000004701980316,0.5000004701980303
1,2,128000,0.49993949410285116,0.49993949410285377
1,2,128000,0.49998848645768024,0.4999884864576807
1,2,128000,0.5000217572303495,0.5000217572303491
1,2,128000,0.49994583283145466,0.4999458328314545
1,2,128000,0.49997757928270004,0.49997757928269937
1,2,128000,0.4999766224114257,0.49997662241142576
1,2,128000,0.500010049287268,0.5000100492872644
1,2,128000,0.5000219017423273,0.5000219017423249
1,2,128000,0.5000913604952162,0.5000913604952166
1,2,128000,0.49985315617865655,0.49985315617865606
1,2,128000,0.49985701099197766,0.4998570109919782
1,2,128000,0.4999574913446008,0.4999574913446021
1,2,128000,0.5000566951979813,0.5000566951979794
1,2,128000,0.5000253377783749,0.5000253377783762
1,3,1000,0.5000138577341884,0.5000138577370534
1,3,1000,0.5006367492565126,0.5006367492562579
1,3,1000,0.4993107741741304,0.4993107741755439
1,3,1000,0.4986766267991647,0.498676626797273
1,3,1000,0.5003899023194711,0.500389902322841
1,3,1000,0.49989259229580174,0.4998925922959808
1,3,1000,0.49945696236731385,0.49945696237014875
1,3,1000,0.49996768942861014,0.49996768943612285
1,3,1000,0.49981136406110804,0.49981136404804966
1,3,1000,0.5012784915648004,0.5012784915605099
1,3,1000,0.49992276578563727,0.4999227657917182
1,3,1000,0.5002684551377586,0.5002684551413265
1,3,1000,0.4997469339433679,0.4997469339419218
1,3,1000,0.4974211137245766,0.4974211137223501
1,3,1000,0.4989264853755173,0.4989264853737523
1,3,1000,0.5001242425096437,0.500124242508652
1,3,1000,0.49959600174865776,0.4995960017496423
1,3,1000,0.4996010884956961,0.4996010884954367
1,3,1000,0.4999570598099913,0.49995705981015515
1,3,1000,0.4988805802014617,0.4988805801938562
1,3,2000,0.5003906141095392,0.5003906141090954
1,3,2000,0.5000462467531176,0.5000462467528951
1,3,2000,0.5002670399976572,0.5002670399978004
1,3,2000,0.5001114922472125,0.5001114922472496
1,3,2000,0.499988049889013,0.4999880498886987
1,3,2000,0.5000979936063809,0.5000979936061843
1,3,2000,0.5002986257502003,0.5002986257503305
1,3,2000,0.5005075568506921,0.5005075568506816
1,3,2000,0.5003624707150327,0.500362470715092
1,3,2000,0.5001103064522211,0.5001103064521568
1,3,2000,0.49996731492436985,0.49996731492445745
1,3,2000,0.49962860434932127,0.49962860434927203
1,3,2000,0.5004961240731856,0.5004961240730503
1,3,2000,0.5025673341075657,0.5025673341081228
1,3,2000,0.5006134553585491,0.5006134553586024
1,3,2000,0.500253951176831,0.5002539511769926
1,3,2000,0.5000817248716574,0.5000817248716583
1,3,2000,0.4997275462642337,0.4997275462641589
1,3,2000,0.4999714814254728,0.4999714814255099
1,3,2000,0.49998832028007767,0.49998832028007456
1,3,4000,0.4989269402614176,0.49892694026137735
1,3,4000,0.49993655760170397,0.49993655760170547
1,3,4000,0.5001968106358322,0.5001968106358314
1,3,4000,0.5000709320142035,0.5000709320141928
1,3,4000,0.49976739568216577,0.49976739568215817
1,3,4000,0.5002036782607225,0.5002036782607228
1,3,4000,0.5004932446421465,0.500493244642145
1,3,4000,0.49953946970993623,0.4995394697099423
1,3,4000,0.5000990303072743,0.5000990303072715
1,3,4000,0.4999209555948623,0.49992095559485805
1,3,4000,0.5000490987983428,0.5000490987983446
1,3,4000,0.5003160269163909,0.5003160269163898
1,3,4000,0.5000978005409358,0.500097800540936
1,3,4000,0.5000631915636459,0.500063191563654
1,3,4000,0.4998971807554671,0.4998971807554666
1,3,4000,0.5001493451820185,0.5001493451820165
1,3,4000,0.49998608563112035,0.4999860856311135
1,3,4000,0.5000454629919864,0.5000454629919876
1,3,4000,0.5002591363802439,0.5002591363802495
1,3,4000,0.5002370231197913,0.500237023119784
1,3,8000,0.49996964894819756,0.49996964894819673
1,3,8000,0.4999761974745888,0.49997619747458866
1,3,8000,0.5000165016087152,0.5000165016087151
1,3,8000,0.49996407128062903,0.49996407128062975
1,3,8000,0.5004222256160534,0.5004222256160538
1,3,8000,0.5003856419693979,0.5003856419693977
1,3,8000,0.4999737019139547,0.49997370191395435
1,3,8000,0.49987885552428907,0.49987885552428934
1,3,8000,0.5000446426588188,0.5000446426588188
1,3,8000,0.49952244518292316,0.4995224451829236
1,3,8000,0.4999172846820196,0.4999172846820191
1,3,8000,0.5000343118928549,0.5000343118928546
1,3,8000,0.4992027498162683,0.4992027498162676
1,3,8000,0.5002012372637755,0.5002012372637759
1,3,8000,0.5004725134401936,0.5004725134401934
1,3,8000,0.4998452957770436,0.49984529577704373
1,3,8000,0.5000225899038367,0.5000225899038366
1,3,8000,0.49991195155656976,0.49991195155657014
1,3,8000,0.5007851432651539,0.5007851432651549
1,3,8000,0.5000983589882472,0.5000983589882472
1,3,16000,0.4999446411274856,0.4999446411274852
1,3,16000,0.5002116839803457,0.5002116839803449
1,3,16000,0.4995484210306126,0.49954842103061214
1,3,16000,0.4998407491801303,0.49984074918013016
1,3,16000,0.49971949808479577,0.4997194980847956
1,3,16000,0.5000060280555834,0.5000060280555835
1,3,16000,0.4999403103545884,0.499940310354589
1,3,16000,0.49988593669034226,0.499885936690342
1,3,16000,0.5000175292209823,0.5000175292209827
