seed,d,dstop,test_loss_orig,test_loss_cp
2,1024,512,0.0438623233795166,0.04710281982421875
3,1024,512,0.034844716873168945,0.038649128952026365
4,1024,512,0.12307452056884766,0.1165755110168457
5,1024,512,0.07509134613037109,0.06902101531982421
6,1024,512,0.06893392501831054,0.07491438568115234
7,1024,512,0.043937227554321286,0.04265200035095215
8,1024,512,0.07497096435546875,0.0772775390625
9,1024,512,0.0957984146118164,0.09180903427124024
10,1024,512,0.10797463104248047,0.10387468719482422
11,1024,512,0.14458913131713866,0.13853215209960937
12,1024,512,0.0530485831451416,0.06179850746154785
13,1024,512,0.05147903930664063,0.052123545989990236
14,1024,512,0.04971884796142578,0.055005442657470704
15,1024,512,0.11951448348999023,0.11247920959472656
16,1024,512,0.06149398124694824,0.05670806182861328
17,1024,512,0.07413463043212891,0.07955079147338867
18,1024,512,0.07402851905822753,0.07173040466308593
19,1024,512,0.056884272766113284,0.06097332870483398
0,2048,724,0.04289901527404785,0.040597178039550784
1,2048,724,0.040969066543579104,0.03757532928466797
2,2048,724,0.07400352348327636,0.0784955485534668
3,2048,724,0.027630622596740723,0.031890121421813966
4,2048,724,0.062291246032714846,0.06908510238647461
5,2048,724,0.10459515548706055,0.1045129052734375
6,2048,724,0.054389405364990234,0.06184556411743164
7,2048,724,0.07456975952148437,0.07918922927856445
8,2048,724,0.05774420761108399,0.05753102180480957
9,2048,724,0.06251377876281738,0.0627102075958252
10,2048,724,0.05337117385864258,0.06536102500915528
11,2048,724,0.04313376609802246,0.05167187301635742
12,2048,724,0.04177462493896485,0.04218888763427734
13,2048,724,0.10027099060058593,0.09066346633911133
14,2048,724,0.08743588287353515,0.09139646087646484
15,2048,724,0.048351845321655276,0.04919342964172363
16,2048,724,0.038830425262451174,0.04485320587158203
17,2048,724,0.044381476669311526,0.04095438629150391
18,2048,724,0.0615883211517334,0.060999830474853516
19,2048,724,0.030050771980285645,0.028737120208740235
0,4096,1024,0.021926835136413574,0.01797051710128784
1,4096,1024,0.018815950756072997,0.027177208290100098
2,4096,1024,0.03245388023376465,0.04132783134460449
3,4096,1024,0.02863984432220459,0.029039781875610352
4,4096,1024,0.03243124206542969,0.04096898422241211
5,4096,1024,0.02309815776824951,0.02183133728027344
6,4096,1024,0.03914537887573242,0.050473567581176756
7,4096,1024,0.027497027816772462,0.03265238288879394
8,4096,1024,0.02846794876098633,0.027926763038635255
9,4096,1024,0.05072168869018555,0.051379437561035156
10,4096,1024,0.0305360977935791,0.02862114971160889
11,4096,1024,0.03347498142242432,0.03996457069396973
12,4096,1024,0.032299229278564455,0.033027807998657226
13,4096,1024,0.02011231060028076,0.02177652057647705
14,4096,1024,0.02372724365234375,0.02850537006378174
15,4096,1024,0.033551980094909666,0.03438646160125732
16,4096,1024,0.044775899353027344,0.04433952819824219
17,4096,1024,0.03491679317474365,0.043104039001464846
18,4096,1024,0.025686186714172363,0.026948456115722656
19,4096,1024,0.04643237319946289,0.045930839614868164
0,8192,1448,0.02330430404663086,0.02487167106628418
1,8192,1448,0.012324693698883057,0.013928438930511475
2,8192,1448,0.04510090721130371,0.048393855590820316
3,8192,1448,0.02427297122955322,0.03007524085998535
4,8192,1448,0.011264935550689697,0.014070432453155517
5,8192,1448,0.010483135929107667,0.011245313339233398
6,8192,1448,0.01980561519622803,0.03156880504608154
7,8192,1448,0.018525839557647705,0.02713505386352539
8,8192,1448,0.020199022903442384,0.0232225
9,8192,1448,0.028971539421081542,0.03219937404632568
10,8192,1448,0.02080039779663086,0.02390907970428467
11,8192,1448,0.016667387561798096,0.0220052522277832
12,8192,1448,0.012630359611511231,0.012567684326171875
13,8192,1448,0.013452886390686035,0.015650667743682862
14,8192,1448,0.01790262975692749,0.025025620307922363
15,8192,1448,0.024450829010009764,0.026062097663879395
16,8192,1448,0.014678092975616456,0.02056294330596924
17,8192,1448,0.022599300231933593,0.026986066970825194
18,8192,1448,0.01969985076904297,0.028086797676086427
19,8192,1448,0.020375950241088868,0.025747509727478027
0,16384,2048,0.010414655876159667,0.009234239978790283
1,16384,2048,0.008816075592041015,0.012383233089447021
2,16384,2048,0.011357588729858398,0.018094784030914305
3,16384,2048,0.013977303848266601,0.018567741889953613
4,16384,2048,0.014286000595092774,0.01986023380279541
5,16384,2048,0.013581032466888427,0.014760684032440186
6,16384,2048,0.01157242691040039,0.015862401638031005
7,16384,2048,0.017155388507843018,0.016859899997711182
8,16384,2048,0.010539203643798829,0.012781001052856445
9,16384,2048,0.009888103675842285,0.014583109226226807
10,16384,2048,0.013865326900482177,0.018722193393707277
11,16384,2048,0.010409793891906738,0.015151296215057373
12,16384,2048,0.01248629940032959,0.02000129196166992
13,16384,2048,0.008448653221130371,0.00967943525314331
14,16384,2048,0.009829775791168213,0.01857241470336914
15,16384,2048,0.00903035795211792,0.011070912532806397
16,16384,2048,0.010386457061767579,0.013881724281311035
17,16384,2048,0.01553502866744995,0.018507286834716797
18,16384,2048,0.023019630165100096,0.025346479530334472
19,16384,2048,0.008499288330078125,0.011790733470916748
0,32768,2896,0.010441988487243653,0.012228853282928467
1,32768,2896,0.006897564859390259,0.008362561206817627
2,32768,2896,0.008374075298309327,0.010600059242248536
3,32768,2896,0.007540931510925293,0.011493600578308106
4,32768,2896,0.006608030757904053,0.008471788349151611
5,32768,2896,0.008378609619140625,0.011590660018920899
6,32768,2896,0.004901715497970581,0.00691382773399353
7,32768,2896,0.012646835651397705,0.01259927719116211
8,32768,2896,0.006676520719528198,0.007888835554122925
9,32768,2896,0.008286909427642822,0.009282468948364257
10,32768,2896,0.005391769142150879,0.007877150297164917
11,32768,2896,0.007258928985595703,0.009045996074676514
12,32768,2896,0.0081569167137146,0.009694541244506836
13,32768,2896,0.0073683882141113285,0.009085213422775268
14,32768,2896,0.005839076499938965,0.00993096466064453
15,32768,2896,0.007171680746078491,0.0092128692817688
16,32768,2896,0.004713251504898071,0.006002044639587402
17,32768,2896,0.006191881742477417,0.008827115707397462
18,32768,2896,0.00869388687133789,0.009397365303039551
19,32768,2896,0.007798708724975586,0.008623839836120606
0,65536,4096,0.004971706886291504,0.005637757844924927
1,65536,4096,0.0032930184984207153,0.004567884049415588
2,65536,4096,0.004004050397872925,0.00519565523147583
3,65536,4096,0.005267309093475342,0.008302035331726075
4,65536,4096,0.00469536946773529,0.006061387853622436
5,65536,4096,0.0037417033290863036,0.0055480597114562985
6,65536,4096,0.004576446042060852,0.007675250186920166
7,65536,4096,0.0053813258457183835,0.00647147216796875
8,65536,4096,0.005120967140197754,0.007424639358520508
9,65536,4096,0.004580188961029053,0.006449885005950928
10,65536,4096,0.0047476479148864745,0.0077107455444335934
11,65536,4096,0.0036403248310089113,0.004271392221450805
0,131072,5792,0.0035498332834243774,0.004945621104240417
1,131072,5792,0.0023217973709106447,0.00390760347366333
2,131072,5792,0.0032940977239608767,0.00546946587562561
3,131072,5792,0.0025053466796875,0.0034856828975677492
4,131072,5792,0.0021009648394584657,0.002978646454811096
5,131072,5792,0.00217448148727417,0.002492952380180359
6,131072,5792,0.00257138165473938,0.0034760037088394165
7,131072,5792,0.0029602604055404664,0.003564363031387329
8,131072,5792,0.0033718878936767577,0.003735325312614441
9,131072,5792,0.002220994288921356,0.0021394105911254884
10,131072,5792,0.002403357882499695,0.0033197444343566894
11,131072,5792,0.002545547184944153,0.0032137022256851196
12,131072,5792,0.001659267008304596,0.0030647537422180174
13,131072,5792,0.001979883041381836,0.002752157711982727
14,131072,5792,0.002430333695411682,0.0037285399341583252
15,131072,5792,0.003254905953407288,0.00454077709197998
16,131072,5792,0.0024548801922798158,0.003938237028121948
17,131072,5792,0.002057580256462097,0.0038192793893814087
18,131072,5792,0.002586161913871765,0.0036230422019958497
19,131072,5792,0.0029668313789367675,0.004232503123283386
0,262144,8192,0.0013118274641036988,0.0018404352474212645
1,262144,8192,0.002111745648384094,0.002668520641326904
2,262144,8192,0.0023444603538513185,0.0028584338760375976
3,262144,8192,0.0018439988136291503,0.002013210861682892
4,262144,8192,0.0016397390604019164,0.0022317809534072876
5,262144,8192,0.0014477736663818359,0.002479932327270508
6,262144,8192,0.0017092697787284851,0.0022225437569618227
7,262144,8192,0.0030989103889465333,0.004536315231323242
8,262144,8192,0.0023198433446884156,0.003279343662261963
1,524288,11585,0.0011789157521724701,0.0017672399020195006
2,524288,11585,0.0018182555127143859,0.0018678938579559327
4,524288,11585,0.0011738275122642518,0.001251140398979187
3,524288,11585,0.0012771981954574586,0.0016504477405548095
5,524288,11585,0.0010511428856849671,0.001614359471797943
0,524288,11585,0.001387195200920105,0.0015380185723304748
10,524288,11585,0.0015597271156311036,0.0021503680992126465
13,524288,11585,0.001363676986694336,0.0018365546345710754
12,524288,11585,0.0009083385193347931,0.001163757667541504
11,524288,11585,0.0017139993762969972,0.002133157796859741
15,524288,11585,0.0018080013155937194,0.0021188170957565306
16,524288,11585,0.0016469376373291016,0.001957617988586426
6,524288,11585,0.0009736281895637512,0.0022007784724235534
8,524288,11585,0.0013582876038551331,0.0023678618717193605
18,524288,11585,0.0017360318088531495,0.0015792061257362366
14,524288,11585,0.0015364600062370301,0.0016543176436424256
7,524288,11585,0.002315975112915039,0.0028331202363967895
19,524288,11585,0.0016678702545166015,0.0024157273769378662
17,524288,11585,0.0010195403301715852,0.001110794279575348
